"rank","name","price","marketCap","volume24h","rsi_15m","rsi_1h","rsi_4h","rsi_24h","rsi_7d"
"77","Stacks
STX","$0.2848","$516.94M","$38.25M","5.26%","40.2","37.9","47.5","44.6"
"118","SPX6900
SPX","$0.3063","$285.22M","$21.23M","5.77%","61.0","51.3","47.4","30.0"
"15","Canton
CC","$0.1783","$6.71B","$25.02M","3.63%","46.1","45.3","47.4","62.0"
"199","Stargate Finance
STG","$0.1546","$102.23M","$7.37M","6.09%","53.5","48.7","47.3","50.7"
"244","Verge
XVG","$0.005731","$94.69M","$9.13M","5.57%","59.1","50.6","47.1","42.0"
"284","Alchemist AI
ALCH","$0.08911","$75.75M","$40.9M","10.18%","32.0","40.4","47.1","39.4"
"40","Pepe
PEPE","$0.054216","$1.74B","$525.94M","4.98%","65.6","53.2","47.1","36.3"
"243","0x Protocol
ZRX","$0.1122","$95.21M","$22M","1.6%","55.3","46.2","47.1","38.6"
"331","Merlin Chain
MERL","$0.05496","$61.83M","$34.22M","1.77%","53.3","50.1","46.9","19.3"
"289","SPACE ID
ID","$0.05668","$73.47M","$36.55M","4.39%","55.9","48.0","46.9","36.0"
"167","DeepBook Protocol
DEEP","$0.02958","$141.47M","$29.8M","6.39%","47.1","48.1","46.8","35.3"
"194","Irys
IRYS","$0.04806","$105.25M","$11.8M","7.82%","37.7","39.6","46.7","53.7"
"86","Stable
STABLE","$0.02582","$454.45M","$45.55M","4.97%","41.4","38.9","46.7","60.0"
"73","Jupiter
JUP","$0.1889","$613.02M","$60.59M","0.53%","56.9","45.9","46.6","45.8"
"170","币安人生
币安人生","$0.1345","$134.54M","$35.46M","1.45%","50.4","46.0","46.4","42.6"
"246","Solana Mobile Seeker
SKR","$0.01745","$93.12M","$30.55M","1.67%","45.6","45.3","46.3","47.3"
"150","OriginTrail
TRAC","$0.3495","$174.78M","$13.7M","1.41%","59.8","48.4","46.1","38.7"
"366","ETHGas
GWEI","$0.03016","$52.78M","$55.38M","3.5%","53.4","50.9","46.1","53.4"
"49","Sky
SKY","$0.06116","$1.4B","$39.49M","5.13%","54.8","47.1","46.1","46.1"
"143","Convex Finance
CVX","$1.868541","$186.14M","$16.02M","7.53%","39.4","39.8","46.0","44.9"
"28","World Liberty Financial
WLFI","$0.1324","$3.54B","$141.81M","4.36%","51.5","47.7","45.9","33.3"
"293","Comedian
BAN","$0.07222","$72.22M","$14.63M","0.6%","49.7","44.8","45.6","44.7"
"53","Worldcoin
WLD","$0.4081","$1.14B","$146.93M","1.87%","60.5","50.2","45.6","38.8"
"368","Ankr
ANKR","$0.00525","$52.5M","$60.73M","4.99%","49.6","39.8","45.4","37.9"
"50","Pi
PI","$0.1583","$1.38B","$14.84M","2.78%","57.4","47.7","45.4","26.2"
"140","Terra Classic
LUNC","$0.00003629","$198.31M","$16.9M","2.47%","43.6","39.6","45.3","42.8"
"101","Maple Finance
SYRUP","$0.2994","$346.49M","$26.43M","3.29%","56.8","46.4","45.3","39.3"
"54","Polygon (prev. MATIC)
POL","$0.1072","$1.13B","$100.62M","0.99%","53.2","44.6","45.3","36.1"
"255","NEXPACE
NXPC","$0.3686","$88.01M","$13.64M","2.25%","54.0","41.1","45.1","48.1"
"149","Vision
VSN","$0.05037","$175.95M","$25.37M","2.56%","45.3","37.6","44.9","27.9"
"369","Dusk
DUSK","$0.1059","$52.68M","$22.86M","3.25%","57.0","51.0","44.6","46.0"
"114","Trust Wallet Token
TWT","$0.6834","$293.78M","$25.69M","7.12%","65.6","56.1","44.6","28.6"
"209","Fasttoken
FTN","$1.086428","$473.96M","$12.64M","0.12%","43.4","40.3","44.6","46.2"
"102","ether.fi
ETHFI","$0.4946","$345.96M","$52.84M","4.57%","57.5","48.0","44.4","30.3"
"137","ZKsync
ZK","$0.02333","$204.19M","$83.99M","4.78%","51.8","47.1","44.3","39.3"
"94","Lighter
LIT","$1.515992","$378.99M","$56.89M","2.12%","60.6","49.6","44.3","35.8"
"186","Theta Fuel
TFUEL","$0.01556","$112.35M","$2.64M","0.73%","55.5","49.2","44.2","33.6"
"339","Sign
SIGN","$0.03655","$59.95M","$3.4M","0.69%","44.9","40.2","44.0","44.6"
"30","Cronos
CRO","$0.08069","$3.21B","$26.26M","3.42%","47.3","43.4","43.8","32.8"
"182","Gas
GAS","$1.824266","$118.56M","$7.56M","1.2%","46.4","36.4","43.8","44.0"
"347","Plume
PLUME","$0.01197","$57.54M","$12.56M","4.88%","51.7","46.9","43.5","30.9"
"318","GMX
GMX","$6.270138","$65.12M","$7.59M","4.44%","54.2","44.8","43.5","35.3"
